,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 10:59:01:700 AM,37606.070312,-49438.230469,5012.290039,0.0,0.0,0.0,0.0,0.0,0.0,-137.988007,0.0,0.0,-1380.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:01:700 AM,37606.070312,-49438.230469,5012.290039,0.0,0.0,0.0,0.0,0.0,0.0,-137.988007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:01:700 AM,37606.070312,-49438.230469,5012.290039,0.0,0.0,0.0,0.0,0.0,0.0,-137.988007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:182 AM,37606.070312,-49438.230469,4992.779785,0.0,0.0,0.0,19.505001,0.0,0.0,-235.793015,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:182 AM,37606.070312,-49438.230469,4992.779785,0.0,0.0,0.0,19.505001,0.0,0.0,-235.793015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:183 AM,37606.070312,-49438.230469,4992.779785,0.0,0.0,0.0,19.505001,0.0,0.0,-235.793015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:183 AM,37606.070312,-49438.230469,4992.779785,0.0,0.0,0.0,19.505001,0.0,0.0,-235.793015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:288 AM,37606.070312,-49438.230469,4961.899902,0.0,0.0,0.0,50.393002,0.0,0.0,-338.762024,0.0,0.0,-1030.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:384 AM,37604.578125,-49439.109375,4926.689941,-1.0,0.0,1.0,85.601006,22.950001,24.870001,-290.042023,229.0,249.0,487.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:486 AM,37602.621094,-49438.738281,4910.72998,-3.0,0.0,2.0,101.555008,3.873,9.082001,-77.184006,-191.0,-158.0,2129.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:607 AM,37602.347656,-49438.148438,4907.939941,-3.0,0.0,2.0,104.353004,-1.051,2.709,1.175,-49.0,-64.0,784.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:690 AM,37602.417969,-49438.21875,4908.540039,-3.0,0.0,2.0,104.958008,0.324,2.109,9.314,14.0,-6.0,81.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:790 AM,37602.46875,-49438.289062,4909.540039,-3.0,0.0,2.0,105.963005,0.662,1.91,9.76,3.0,-2.0,4.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:02:884 AM,37602.507812,-49438.347656,4910.359863,-3.0,0.0,2.0,106.778008,0.607,1.363,7.862,-1.0,-5.0,-19.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:03:2 AM,37602.539062,-49438.410156,4911.069824,-3.0,0.0,2.0,107.492004,0.421,0.673,5.072,-2.0,-7.0,-28.0,0.0,0.0,0.0,0.0,true
Jun 4 2024 10:59:03:84 AM,37602.550781,-49438.449219,4911.399902,-3.0,0.0,2.0,107.821007,0.298,0.383,3.366,-1.0,-3.0,-17.0,0.0,0.0,0.0,0.0,true
