,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
Jun 4 2024 12:09:25:281 PM,37606.070312,-49438.230469,5014.359863,0.0,0.0,0.0,0.0,0.0,0.0,-123.308006,0.0,0.0,-1233.0,0.02,0.0,0.0,0.0,true
Jun 4 2024 12:09:25:281 PM,37606.070312,-49438.230469,5014.359863,0.0,0.0,0.0,0.0,0.0,0.0,-123.308006,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
Jun 4 2024 12:09:25:282 PM,37606.070312,-49438.230469,5014.359863,0.0,0.0,0.0,0.0,0.0,0.0,-123.308006,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
Jun 4 2024 12:09:25:659 PM,37606.070312,-49438.230469,4996.319824,0.0,0.0,0.0,18.038,0.0,0.0,-221.128006,0.0,0.0,-978.0,0.02,0.0,0.0,0.0,true
Jun 4 2024 12:09:25:660 PM,37606.070312,-49438.230469,4996.319824,0.0,0.0,0.0,18.038,0.0,0.0,-221.128006,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
Jun 4 2024 12:09:25:660 PM,37606.070312,-49438.230469,4996.319824,0.0,0.0,0.0,18.038,0.0,0.0,-221.128006,0.0,0.0,0.0,0.02,0.0,0.0,0.0,true
Jun 4 2024 12:09:25:680 PM,37606.070312,-49438.230469,4991.029785,0.0,0.0,0.0,23.327002,0.0,0.0,-242.902008,0.0,0.0,-218.0,0.02,0.0,0.0,0.0,true
Jun 4 2024 12:09:25:778 PM,37606.070312,-49438.230469,4962.319824,0.0,0.0,0.0,52.037003,0.0,0.0,-337.549011,0.0,0.0,-946.0,0.02,0.0,0.0,0.0,true
Jun 4 2024 12:09:25:868 PM,37605.089844,-49438.179688,4929.259766,-1.0,0.0,1.0,85.095001,-43.222004,-2.312,-320.665009,-432.0,-23.0,169.0,0.02,0.0,0.0,0.0,true
Jun 4 2024 12:09:25:982 PM,37602.910156,-49437.949219,4910.699707,-3.0,0.0,2.0,103.655006,-10.667001,1.711,-74.986,326.0,40.0,2457.0,0.04,0.0,0.0,0.0,true
Jun 4 2024 12:09:26:69 PM,37602.527344,-49437.867188,4907.759766,-3.0,0.0,2.0,106.599007,-1.906,-0.457,-8.364,88.0,-22.0,666.0,0.05,0.0,0.0,0.0,true
Jun 4 2024 12:09:26:168 PM,37602.597656,-49437.917969,4908.209961,-3.0,0.0,2.0,107.049004,1.143,-0.766,8.946,30.0,-3.0,173.0,0.04,0.0,0.0,0.0,true
Jun 4 2024 12:09:26:264 PM,37602.6875,-49437.980469,4909.219727,-3.0,0.0,2.0,108.061005,1.246,-0.762,10.576,1.0,0.0,16.0,0.02,0.0,0.0,0.0,true
Jun 4 2024 12:09:26:361 PM,37602.789062,-49438.039062,4910.159668,-3.0,0.0,2.0,109.000008,0.989,-0.698,8.316,-3.0,1.0,-23.0,0.01,0.0,0.0,0.0,true
Jun 4 2024 12:09:26:468 PM,37602.859375,-49438.109375,4910.909668,-3.0,0.0,2.0,109.755005,0.666,-0.549,5.783,-3.0,1.0,-25.0,-0.01,0.0,0.0,0.0,true
Jun 4 2024 12:09:26:564 PM,37602.910156,-49438.148438,4911.370117,-3.0,0.0,2.0,110.211006,0.445,-0.468,3.924,-2.0,1.0,-19.0,-0.01,0.15,0.0,0.0,true
Jun 4 2024 12:09:26:669 PM,37603.050781,-49438.1875,4911.679688,-3.0,0.0,2.0,110.521004,3.877,-0.384,2.295,34.0,1.0,-16.0,-0.01,0.63,0.0,0.0,true
Jun 4 2024 12:09:26:769 PM,37603.6875,-49438.21875,4911.830078,-3.0,0.0,2.0,110.673004,9.571,-0.331,0.957,57.0,1.0,-13.0,-0.01,1.0,0.0,0.0,true
Jun 4 2024 12:09:26:868 PM,37606.179688,-49438.269531,4911.779785,-3.0,0.0,2.0,110.725006,37.366001,-0.537,-1.068,278.0,-2.0,-20.0,-0.01,1.0,0.0,0.0,true
Jun 4 2024 12:09:26:967 PM,37611.828125,-49438.328125,4911.47998,-3.0,0.0,2.0,111.019005,78.824005,-0.754,-3.992,415.0,-2.0,-29.0,-0.01,1.0,0.0,0.0,true
Jun 4 2024 12:09:27:68 PM,37622.640625,-49438.410156,4910.850098,-4.0,0.0,2.0,111.658005,126.063004,-0.177,-6.72,472.0,6.0,-27.0,-0.01,1.0,0.0,0.0,true
Jun 4 2024 12:09:27:168 PM,37637.488281,-49438.4375,4910.02002,-4.0,0.0,2.0,112.485008,167.098007,-0.231,-9.171,410.0,-1.0,-25.0,-0.01,1.0,0.0,0.0,true
Jun 4 2024 12:09:27:264 PM,37655.730469,-49438.5,4909.049805,-4.0,0.0,2.0,113.449005,204.993011,-0.622,-10.690001,379.0,-4.0,-15.0,-0.01,1.0,0.0,0.0,true
