,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,VO,OutOfBounds
Jun 6 2024 9:13:49:95 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,-2122.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:96 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:96 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:97 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:97 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:97 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:97 AM,37606.070312,-49438.230469,5016.5,0.0,0.0,0.0,0.0,0.0,0.0,-106.101006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:128 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,-1957.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:129 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:129 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:129 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:130 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:130 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:130 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:131 AM,37606.070312,-49438.230469,5000.189941,0.0,0.0,0.0,16.318001,0.0,0.0,-203.938004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:460 AM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,-1955.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:461 AM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:461 AM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:462 AM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:463 AM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:463 AM,37606.070312,-49438.230469,4974.089844,0.0,0.0,0.0,42.414001,0.0,0.0,-301.677002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:787 AM,37606.078125,-49438.21875,4938.580078,0.0,0.0,1.0,77.924004,-1.01,-4.893,-375.983032,-20.0,-98.0,-1486.0,3.43,0.34,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:788 AM,37606.078125,-49438.21875,4938.580078,0.0,0.0,1.0,77.924004,-1.01,-4.893,-375.983032,0.0,0.0,0.0,3.43,0.34,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:788 AM,37606.078125,-49438.21875,4938.580078,0.0,0.0,1.0,77.924004,-1.01,-4.893,-375.983032,0.0,0.0,0.0,3.43,0.34,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:788 AM,37606.078125,-49438.21875,4938.580078,0.0,0.0,1.0,77.924004,-1.01,-4.893,-375.983032,0.0,0.0,0.0,3.43,0.34,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:789 AM,37606.078125,-49438.21875,4938.580078,0.0,0.0,1.0,77.924004,-1.01,-4.893,-375.983032,0.0,0.0,0.0,3.43,0.34,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:789 AM,37606.078125,-49438.21875,4938.580078,0.0,0.0,1.0,77.924004,-1.01,-4.893,-375.983032,0.0,0.0,0.0,3.43,0.34,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:789 AM,37606.078125,-49438.21875,4938.580078,0.0,0.0,1.0,77.924004,-1.01,-4.893,-375.983032,0.0,0.0,0.0,3.43,0.34,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:819 AM,37604.910156,-49438.058594,4926.569824,-1.0,0.0,1.0,89.933006,-35.105003,0.584,-289.276001,-682.0,110.0,1734.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:870 AM,37603.789062,-49438.007812,4916.359863,-2.0,0.0,2.0,100.147003,-20.069,0.291,-158.795013,301.0,-6.0,2610.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:927 AM,37603.140625,-49438.007812,4910.489746,-3.0,0.0,2.0,106.011002,-9.376,0.192,-72.204002,214.0,-2.0,1732.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:49:978 AM,37602.898438,-49438.007812,4908.179688,-3.0,0.0,2.0,108.323006,-2.843,-0.25,-30.025002,131.0,-9.0,844.0,3.43,0.34,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:19 AM,37602.878906,-49438.0,4907.689941,-3.0,0.0,2.0,108.816002,0.637,-0.653,-4.989,70.0,-8.0,501.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:81 AM,37603.078125,-49437.980469,4907.879883,-3.0,0.0,2.0,109.010002,3.975,0.254,5.856,67.0,18.0,217.0,3.43,0.34,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:117 AM,37603.289062,-49437.949219,4908.199707,-3.0,0.0,2.0,109.331009,6.421,0.615,9.062,49.0,7.0,64.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:174 AM,37603.730469,-49437.859375,4908.799805,-3.0,0.0,2.0,109.930008,8.892,1.71,10.631001,49.0,22.0,31.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:218 AM,37604.238281,-49437.699219,4909.25,-3.0,0.0,2.0,110.375008,13.368001,3.615,10.167001,90.0,38.0,-9.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:269 AM,37605.027344,-49437.46875,4909.719727,-3.0,0.0,2.0,110.853004,18.361,5.387,8.913,100.0,35.0,-25.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:325 AM,37606.179688,-49437.097656,4910.169922,-3.0,1.0,2.0,111.295006,23.458,6.761,7.176,102.0,27.0,-35.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:369 AM,37607.347656,-49436.699219,4910.439941,-3.0,1.0,2.0,111.570007,27.728001,8.746,5.77,85.0,40.0,-28.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:419 AM,37608.859375,-49436.207031,4910.679688,-3.0,1.0,2.0,111.808006,31.620001,9.315001,4.328,78.0,11.0,-29.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:469 AM,37610.597656,-49435.597656,4910.859863,-3.0,1.0,2.0,111.985008,35.431004,11.1,2.975,76.0,36.0,-27.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:523 AM,37612.660156,-49434.847656,4910.97998,-3.0,2.0,2.0,112.107002,42.259003,14.016001,1.717,137.0,58.0,-25.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:569 AM,37614.71875,-49434.070312,4911.029785,-3.0,2.0,2.0,112.161003,46.903004,16.561001,0.796,93.0,51.0,-18.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:624 AM,37617.527344,-49432.988281,4911.040039,-3.0,3.0,2.0,112.173004,52.476002,18.543001,-0.215,111.0,40.0,-20.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:677 AM,37620.347656,-49431.878906,4911.0,-3.0,3.0,2.0,112.216003,53.951004,19.038,-1.397,30.0,10.0,-24.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:716 AM,37622.578125,-49430.988281,4910.949707,-3.0,3.0,2.0,112.265007,56.829002,20.939001,-1.366,58.0,38.0,1.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:772 AM,37625.980469,-49429.570312,4910.859863,-3.0,4.0,2.0,112.361008,63.036003,24.556002,-2.304,124.0,72.0,-19.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:822 AM,37629.269531,-49428.179688,4910.739746,-3.0,5.0,1.0,112.478004,67.316002,26.167002,-2.712,86.0,32.0,-8.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:870 AM,37632.539062,-49426.730469,4910.620117,-3.0,5.0,1.0,112.601006,71.546005,29.279001,-2.95,85.0,62.0,-5.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:919 AM,37636.128906,-49425.089844,4910.469727,-3.0,6.0,1.0,112.743004,73.178001,31.335001,-3.013,33.0,41.0,-1.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:50:973 AM,37640.070312,-49423.21875,4910.319824,-3.0,7.0,1.0,112.898003,74.976006,33.618,-3.097,36.0,46.0,-2.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:21 AM,37643.820312,-49421.359375,4910.169922,-3.0,7.0,1.0,113.043007,79.895004,36.909,-3.319,98.0,66.0,-4.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:69 AM,37647.648438,-49419.410156,4910.02002,-3.0,8.0,1.0,113.198006,83.337006,39.715,-3.63,69.0,56.0,-6.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:123 AM,37652.039062,-49417.109375,4909.819824,-3.0,9.0,1.0,113.396004,85.628006,42.016003,-4.084,46.0,46.0,-9.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:176 AM,37656.871094,-49414.507812,4909.600098,-3.0,10.0,1.0,113.622002,88.942001,45.498001,-4.353,66.0,70.0,-5.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:227 AM,37661.5,-49411.9375,4909.379883,-3.0,11.0,1.0,113.832008,93.239006,49.283001,-4.439,86.0,76.0,-2.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:276 AM,37666.238281,-49409.199219,4909.169922,-3.0,12.0,1.0,114.050003,96.857002,53.103001,-4.594,72.0,76.0,-3.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:326 AM,37671.0,-49406.347656,4908.939941,-2.0,13.0,1.0,114.271004,100.329002,56.983002,-4.86,69.0,78.0,-5.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:374 AM,37676.019531,-49403.238281,4908.709961,-2.0,14.0,0.0,114.508003,103.095001,60.832005,-4.946,55.0,77.0,-2.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:416 AM,37680.308594,-49400.488281,4908.5,-2.0,14.0,0.0,114.713005,104.873009,63.459003,-5.255,36.0,53.0,-6.0,3.43,0.35,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:471 AM,37686.007812,-49396.667969,4908.25,-2.0,16.0,0.0,114.962006,106.296005,67.524002,-4.777,28.0,81.0,10.0,3.43,0.36,0.0,0.0,1.0,true
Jun 6 2024 9:13:51:528 AM,37692.0,-49392.457031,4908.0,-2.0,17.0,0.0,115.212006,107.472008,71.682007,-4.453,24.0,83.0,6.0,3.43,0.34,0.0,0.0,1.0,true
