,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 20 2024 2:45:39:209 PM,37606.070312,-49438.230469,5012.439941,0.0,0.0,0.0,0.0,0.0,0.0,-137.01001,0.0,0.0,-1370.0,0.0,0.0,0.0,true
May 20 2024 2:45:39:209 PM,37606.070312,-49438.230469,5012.439941,0.0,0.0,0.0,0.0,0.0,0.0,-137.01001,0.0,0.0,0.0,0.0,0.0,0.0,true
May 20 2024 2:45:39:209 PM,37606.070312,-49438.230469,5012.439941,0.0,0.0,0.0,0.0,0.0,0.0,-137.01001,0.0,0.0,0.0,0.0,0.0,0.0,true
May 20 2024 2:45:39:680 PM,37606.070312,-49438.230469,4993.029785,0.0,0.0,0.0,19.407001,0.0,0.0,-234.81601,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 20 2024 2:45:39:680 PM,37606.070312,-49438.230469,4993.029785,0.0,0.0,0.0,19.407001,0.0,0.0,-234.81601,0.0,0.0,0.0,0.0,0.0,0.0,true
May 20 2024 2:45:39:681 PM,37606.070312,-49438.230469,4993.029785,0.0,0.0,0.0,19.407001,0.0,0.0,-234.81601,0.0,0.0,0.0,0.0,0.0,0.0,true
May 20 2024 2:45:39:681 PM,37606.070312,-49438.230469,4993.029785,0.0,0.0,0.0,19.407001,0.0,0.0,-234.81601,0.0,0.0,0.0,0.0,0.0,0.0,true
May 20 2024 2:45:39:779 PM,37606.070312,-49438.230469,4963.27002,0.0,0.0,0.0,49.173004,0.0,0.0,-334.93103,0.0,0.0,-1001.0,0.0,0.0,0.0,true
May 20 2024 2:45:39:881 PM,37604.648438,-49439.007812,4926.850098,-1.0,0.0,1.0,85.587006,23.016001,25.342001,-291.792023,230.0,253.0,431.0,0.0,0.0,0.0,true
May 20 2024 2:45:39:982 PM,37602.679688,-49438.597656,4910.739746,-3.0,0.0,2.0,101.695007,3.983,9.283,-76.070007,-190.0,-161.0,2157.0,0.0,0.0,0.0,true
May 20 2024 2:45:40:82 PM,37602.398438,-49438.230469,4907.870117,-3.0,0.0,2.0,104.570007,-1.48,-0.659,-2.429,-55.0,-99.0,736.0,0.0,0.0,0.0,true
May 20 2024 2:45:40:176 PM,37602.46875,-49438.300781,4908.379883,-3.0,0.0,2.0,105.083008,0.311,1.567,9.178,18.0,22.0,116.0,0.0,0.0,0.0,true
May 20 2024 2:45:40:283 PM,37602.539062,-49438.367188,4909.459961,-3.0,0.0,2.0,106.162003,0.663,1.88,9.826,4.0,3.0,6.0,0.0,0.0,0.0,true
May 20 2024 2:45:40:377 PM,37602.570312,-49438.429688,4910.290039,-3.0,0.0,2.0,106.996002,0.586,1.428,7.706,-1.0,-5.0,-21.0,0.0,0.0,0.0,true
May 20 2024 2:45:40:479 PM,37602.589844,-49438.488281,4910.939941,-3.0,0.0,2.0,107.641006,0.441,0.903,5.268,-1.0,-5.0,-24.0,-0.02,0.0,0.0,true
May 20 2024 2:45:40:580 PM,37602.621094,-49438.527344,4911.370117,-3.0,0.0,2.0,108.073006,0.306,0.444,3.408,-1.0,-5.0,-19.0,-0.02,0.0,0.0,true
