,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,IsCrash
May 21 2024 10:36:57:796 AM,37606.070312,-49438.230469,5014.069824,0.0,0.0,0.0,0.0,0.0,0.0,-125.329002,0.0,0.0,-1253.0,0.0,0.0,0.0,true
May 21 2024 10:36:57:796 AM,37606.070312,-49438.230469,5014.069824,0.0,0.0,0.0,0.0,0.0,0.0,-125.329002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:36:57:796 AM,37606.070312,-49438.230469,5014.069824,0.0,0.0,0.0,0.0,0.0,0.0,-125.329002,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:36:58:311 AM,37606.070312,-49438.230469,4995.830078,0.0,0.0,0.0,18.240002,0.0,0.0,-223.146011,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 21 2024 10:36:58:312 AM,37606.070312,-49438.230469,4995.830078,0.0,0.0,0.0,18.240002,0.0,0.0,-223.146011,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:36:58:312 AM,37606.070312,-49438.230469,4995.830078,0.0,0.0,0.0,18.240002,0.0,0.0,-223.146011,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:36:58:312 AM,37606.070312,-49438.230469,4995.830078,0.0,0.0,0.0,18.240002,0.0,0.0,-223.146011,0.0,0.0,0.0,0.0,0.0,0.0,true
May 21 2024 10:36:58:436 AM,37606.070312,-49438.230469,4959.069824,0.0,0.0,0.0,54.999004,0.0,0.0,-346.741028,0.0,0.0,-1236.0,0.0,0.0,0.0,true
May 21 2024 10:36:58:512 AM,37604.859375,-49439.050781,4930.399902,-1.0,0.0,1.0,83.671005,11.407001,19.897001,-331.846008,114.0,199.0,149.0,0.0,0.0,0.0,true
May 21 2024 10:36:58:615 AM,37602.71875,-49438.589844,4911.549805,-3.0,0.0,2.0,102.518005,4.434,10.513,-89.455002,-70.0,-94.0,2424.0,0.0,0.0,0.0,true
May 21 2024 10:36:58:712 AM,37602.320312,-49438.019531,4907.899902,-3.0,0.0,2.0,106.176003,-2.494,1.492,-4.993,-69.0,-90.0,845.0,0.02,0.0,0.0,true
May 21 2024 10:36:58:811 AM,37602.417969,-49438.089844,4908.350098,-3.0,0.0,2.0,106.625008,0.145,2.106,8.952001,26.0,6.0,139.0,0.02,0.0,0.0,true
May 21 2024 10:36:58:911 AM,37602.46875,-49438.167969,4909.359863,-3.0,0.0,2.0,107.639008,0.672,1.887,9.982,5.0,-2.0,10.0,0.02,1.0,0.0,true
May 21 2024 10:36:59:13 AM,37602.628906,-49438.21875,4910.259766,-3.0,0.0,2.0,108.542007,2.991,1.392,7.571001,23.0,-5.0,-24.0,0.02,1.0,0.0,true
May 21 2024 10:36:59:111 AM,37603.929688,-49438.257812,4910.870117,-3.0,0.0,2.0,109.152008,19.703001,0.735,4.519,167.0,-7.0,-31.0,0.02,1.0,0.0,true
May 21 2024 10:36:59:216 AM,37607.96875,-49438.308594,4911.159668,-3.0,0.0,2.0,109.437004,46.673,0.353,0.87,270.0,-4.0,-36.0,0.02,1.0,0.0,true
May 21 2024 10:36:59:313 AM,37615.167969,-49438.679688,4911.100098,-2.0,0.0,2.0,109.498009,90.514008,-4.083,-3.082,438.0,-44.0,-40.0,-0.98,1.0,0.0,true
May 21 2024 10:36:59:407 AM,37626.238281,-49440.109375,4910.679688,-2.0,-1.0,3.0,109.915009,130.464005,-14.081,-6.58,399.0,-100.0,-35.0,-0.98,1.0,0.0,true
May 21 2024 10:36:59:512 AM,37642.160156,-49443.648438,4909.919922,-2.0,-2.0,3.0,110.679008,167.487015,-32.893002,-9.179001,370.0,-188.0,-26.0,-0.98,1.0,0.0,true
May 21 2024 10:36:59:609 AM,37660.378906,-49448.878906,4908.989746,-2.0,-5.0,4.0,111.604004,204.666016,-47.390003,-10.001,372.0,-145.0,-8.0,0.02,1.0,0.0,true
May 21 2024 10:36:59:708 AM,37683.128906,-49452.9375,4907.949707,-2.0,-6.0,3.0,112.643005,247.525009,-38.507,-11.238001,429.0,89.0,-12.0,0.02,1.0,0.0,true
May 21 2024 10:36:59:817 AM,37712.71875,-49455.859375,4906.560059,-1.0,-6.0,3.0,114.030006,290.804016,-31.437002,-13.81,433.0,71.0,-26.0,0.02,1.0,0.0,true
May 21 2024 10:36:59:907 AM,37741.167969,-49458.480469,4905.219727,-1.0,-6.0,3.0,115.373009,326.402008,-30.919001,-15.397,356.0,5.0,-16.0,0.02,1.0,0.0,true
May 21 2024 10:37:00:13 AM,37777.859375,-49461.738281,4903.47998,-1.0,-5.0,3.0,117.110008,366.640015,-32.390003,-17.589001,402.0,-15.0,-22.0,0.02,1.0,0.0,true
May 21 2024 10:37:00:111 AM,37816.109375,-49465.027344,4901.649902,-1.0,-5.0,3.0,118.945007,403.838013,-34.435001,-19.545,372.0,-20.0,-20.0,0.02,1.0,0.0,true
May 21 2024 10:37:00:208 AM,37856.949219,-49469.558594,4899.75,-1.0,-6.0,3.0,120.843002,436.571014,-51.646004,-20.049002,327.0,-172.0,-5.0,-0.98,1.0,0.0,true
May 21 2024 10:37:00:311 AM,37903.46875,-49478.6875,4897.790039,-1.0,-8.0,4.0,122.80201,461.833008,-91.899002,-19.360001,253.0,-403.0,7.0,-0.98,1.0,0.0,true
May 21 2024 10:37:00:409 AM,37948.300781,-49492.417969,4896.319824,-1.0,-11.0,5.0,124.27401,471.646027,-148.345001,-13.279,98.0,-564.0,61.0,-0.98,1.0,0.0,true
May 21 2024 10:37:00:513 AM,37998.699219,-49511.140625,4894.989746,-1.0,-16.0,5.0,125.604004,504.748016,-177.403015,-16.038,331.0,-291.0,-28.0,0.02,1.0,0.0,true
May 21 2024 10:37:00:611 AM,38050.429688,-49527.128906,4893.159668,-1.0,-17.0,4.0,127.433006,542.57605,-171.513016,-19.320002,378.0,59.0,-33.0,0.02,1.0,0.0,true
