,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 21 2024 2:12:33:92 PM,37606.070312,-49438.230469,5012.529785,0.0,0.0,0.0,0.0,0.0,0.0,-136.405014,0.0,0.0,-1364.0,0.01,0.0,0.0,true
May 21 2024 2:12:33:92 PM,37606.070312,-49438.230469,5012.529785,0.0,0.0,0.0,0.0,0.0,0.0,-136.405014,0.0,0.0,0.0,0.01,0.0,0.0,true
May 21 2024 2:12:33:92 PM,37606.070312,-49438.230469,5012.529785,0.0,0.0,0.0,0.0,0.0,0.0,-136.405014,0.0,0.0,0.0,0.01,0.0,0.0,true
May 21 2024 2:12:33:492 PM,37606.070312,-49438.230469,4993.189941,0.0,0.0,0.0,19.347,0.0,0.0,-234.212006,0.0,0.0,-978.0,0.01,1.0,0.0,true
May 21 2024 2:12:33:492 PM,37606.070312,-49438.230469,4993.189941,0.0,0.0,0.0,19.347,0.0,0.0,-234.212006,0.0,0.0,0.0,0.01,1.0,0.0,true
May 21 2024 2:12:33:492 PM,37606.070312,-49438.230469,4993.189941,0.0,0.0,0.0,19.347,0.0,0.0,-234.212006,0.0,0.0,0.0,0.01,1.0,0.0,true
May 21 2024 2:12:33:493 PM,37606.070312,-49438.230469,4993.189941,0.0,0.0,0.0,19.347,0.0,0.0,-234.212006,0.0,0.0,0.0,0.01,1.0,0.0,true
May 21 2024 2:12:33:593 PM,37606.070312,-49438.230469,4963.129883,0.0,0.0,0.0,49.396004,0.0,0.0,-335.279022,0.0,0.0,-1011.0,0.01,1.0,0.0,true
May 21 2024 2:12:33:695 PM,37604.578125,-49438.847656,4927.060059,-1.0,0.0,1.0,85.472008,18.960001,28.354002,-301.419006,190.0,284.0,339.0,0.01,1.0,0.0,true
May 21 2024 2:12:33:798 PM,37606.980469,-49438.6875,4910.47998,-3.0,0.0,2.0,102.055008,59.297005,7.764,-80.796005,403.0,-206.0,2206.0,-0.99,1.0,0.0,true
May 21 2024 2:12:33:892 PM,37614.71875,-49439.519531,4907.120117,-3.0,-1.0,2.0,105.412003,104.557007,-13.460001,-8.259001,453.0,-212.0,725.0,-0.99,1.0,0.0,true
May 21 2024 2:12:33:993 PM,37627.609375,-49442.71875,4907.100098,-3.0,-2.0,3.0,105.435005,142.146011,-29.268002,2.067,376.0,-158.0,103.0,-0.99,1.0,0.0,true
May 21 2024 2:12:34:94 PM,37643.390625,-49448.378906,4907.439941,-2.0,-5.0,3.0,105.778008,169.161011,-54.369003,2.518,270.0,-251.0,5.0,-0.99,1.0,0.0,true
May 21 2024 2:12:34:190 PM,37661.058594,-49456.308594,4907.659668,-2.0,-8.0,4.0,106.000008,194.879013,-79.604004,0.153,257.0,-252.0,-24.0,-0.99,1.0,0.0,true
May 21 2024 2:12:34:301 PM,37685.167969,-49467.679688,4907.569824,-2.0,-12.0,4.0,106.095009,236.224014,-98.920006,-3.689,413.0,-193.0,-38.0,0.01,1.0,0.0,true
May 21 2024 2:12:34:393 PM,37709.46875,-49476.398438,4907.040039,-1.0,-13.0,4.0,106.624008,278.907013,-94.559006,-7.538001,427.0,44.0,-38.0,0.01,1.0,0.0,true
May 21 2024 2:12:34:499 PM,37742.230469,-49484.75,4905.939941,-1.0,-14.0,3.0,107.717003,323.775024,-84.777,-11.570001,449.0,98.0,-40.0,0.01,1.0,0.0,true
May 21 2024 2:12:34:601 PM,37777.558594,-49493.199219,4904.620117,-1.0,-14.0,3.0,109.045006,363.136017,-87.262001,-14.313001,394.0,-25.0,-27.0,0.01,1.0,0.0,true
May 21 2024 2:12:34:698 PM,37814.667969,-49502.980469,4903.179688,-1.0,-14.0,3.0,110.480003,394.345032,-106.678001,-15.564001,312.0,-194.0,-13.0,-0.99,1.0,0.0,true
May 21 2024 2:12:34:798 PM,37854.949219,-49516.839844,4901.699707,-1.0,-16.0,4.0,111.957008,419.631012,-138.671005,-15.965001,253.0,-320.0,-4.0,0.01,1.0,0.0,true
May 21 2024 2:12:34:895 PM,37897.980469,-49530.097656,4900.040039,-1.0,-16.0,4.0,113.620003,457.088013,-139.225006,-17.456001,375.0,-6.0,-15.0,0.01,1.0,0.0,true
May 21 2024 2:12:35:0 PM,37948.210938,-49544.6875,4898.139648,-1.0,-16.0,3.0,115.520004,494.406036,-146.158005,-18.161001,373.0,-69.0,-7.0,0.01,1.0,0.0,true
May 21 2024 2:12:35:92 PM,37995.4375,-49558.277344,4896.389648,-1.0,-16.0,3.0,117.272003,526.184021,-153.164001,-19.450001,318.0,-70.0,-13.0,0.01,1.0,0.0,true
May 21 2024 2:12:35:195 PM,38051.871094,-49574.378906,4894.319824,-1.0,-16.0,3.0,119.339005,561.155029,-161.126007,-20.268002,350.0,-80.0,-8.0,0.01,1.0,0.0,true
May 21 2024 2:12:35:296 PM,38110.6875,-49591.007812,4892.179688,-1.0,-16.0,3.0,121.482002,587.466003,-168.185013,-21.435001,263.0,-71.0,-12.0,0.01,1.0,0.0,true
May 21 2024 2:12:35:399 PM,38170.648438,-49607.839844,4889.949707,-1.0,-16.0,3.0,123.709007,589.696045,-167.719009,-20.873001,22.0,5.0,6.0,0.01,1.0,0.0,true
May 21 2024 2:12:35:498 PM,38229.308594,-49624.167969,4887.850098,-1.0,-16.0,3.0,125.806007,592.509033,-166.901001,-20.224001,28.0,8.0,6.0,0.01,1.0,0.0,true
May 21 2024 2:12:35:593 PM,38285.0,-49639.539062,4885.959961,-1.0,-16.0,3.0,127.702003,594.93103,-166.076004,-19.574001,24.0,8.0,6.0,0.01,1.0,0.0,true
May 21 2024 2:12:35:693 PM,38344.46875,-49657.558594,4884.069824,-1.0,-16.0,3.0,129.587006,588.890015,-186.049011,-17.848001,-60.0,-200.0,17.0,-0.99,1.0,0.0,true
May 21 2024 2:12:35:796 PM,38403.878906,-49678.71875,4882.370117,-1.0,-18.0,3.0,131.291,593.759033,-204.117004,-16.809,49.0,-181.0,10.0,0.01,1.0,0.0,true
May 21 2024 2:12:35:896 PM,38467.660156,-49699.589844,4880.669922,-1.0,-18.0,3.0,132.989014,641.546021,-216.197006,-17.487001,478.0,-121.0,-7.0,0.01,1.0,0.0,true
May 21 2024 2:12:35:993 PM,38532.679688,-49720.6875,4879.029785,0.0,-18.0,2.0,134.633011,680.683044,-226.580017,-17.474001,391.0,-104.0,0.0,0.01,1.0,0.0,true
May 21 2024 2:12:36:97 PM,38605.917969,-49744.230469,4877.239746,0.0,-18.0,2.0,136.424011,718.088013,-235.928009,-17.603001,374.0,-93.0,-1.0,0.01,1.0,0.0,true
May 21 2024 2:12:36:192 PM,38676.460938,-49766.679688,4875.589844,0.0,-18.0,2.0,138.068008,749.554016,-243.509018,-17.234001,315.0,-76.0,4.0,0.01,1.0,0.0,true
May 21 2024 2:12:36:290 PM,38751.789062,-49790.488281,4873.919922,0.0,-18.0,1.0,139.738007,780.111023,-250.160019,-17.435001,306.0,-67.0,-2.0,0.01,1.0,0.0,true
May 21 2024 2:12:36:397 PM,38837.367188,-49817.277344,4872.040039,0.0,-18.0,1.0,141.619003,811.962036,-256.887024,-17.366001,319.0,-67.0,1.0,0.01,1.0,0.0,true
May 21 2024 2:12:36:497 PM,38919.359375,-49842.699219,4870.370117,0.0,-17.0,1.0,143.289001,840.244019,-262.789001,-16.515001,283.0,-59.0,9.0,0.01,1.0,0.0,true
May 21 2024 2:12:36:593 PM,39002.898438,-49868.378906,4868.77002,0.0,-17.0,1.0,144.887009,867.379028,-268.516998,-16.629002,271.0,-57.0,-1.0,0.01,1.0,0.0,true
May 21 2024 2:12:36:693 PM,39091.359375,-49893.320312,4867.100098,0.0,-16.0,0.0,146.559006,899.049072,-247.831009,-16.873001,317.0,207.0,-2.0,1.01,0.0,0.0,true
May 21 2024 2:12:36:794 PM,39183.960938,-49916.800781,4865.409668,0.0,-14.0,0.0,148.247009,921.83905,-239.553009,-16.207001,228.0,83.0,7.0,0.01,0.0,0.0,true
May 21 2024 2:12:36:892 PM,39274.777344,-49939.808594,4863.909668,0.0,-14.0,0.0,149.746002,926.920044,-231.772018,-14.246,51.0,78.0,20.0,0.01,0.0,0.0,true
May 21 2024 2:12:36:998 PM,39372.039062,-49963.769531,4862.459961,0.0,-14.0,0.0,151.196014,919.633057,-223.257004,-12.361001,-73.0,85.0,19.0,0.01,0.0,0.0,true
