,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,Brake,OutOfBounds
May 22 2024 10:03:21:350 AM,37606.070312,-49438.230469,5013.629883,0.0,0.0,0.0,0.0,0.0,0.0,-128.39801,0.0,0.0,-1284.0,0.0,0.0,0.0,true
May 22 2024 10:03:21:350 AM,37606.070312,-49438.230469,5013.629883,0.0,0.0,0.0,0.0,0.0,0.0,-128.39801,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:03:21:350 AM,37606.070312,-49438.230469,5013.629883,0.0,0.0,0.0,0.0,0.0,0.0,-128.39801,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:03:21:702 AM,37606.070312,-49438.230469,4995.080078,0.0,0.0,0.0,18.546001,0.0,0.0,-226.212006,0.0,0.0,-978.0,0.0,0.0,0.0,true
May 22 2024 10:03:21:703 AM,37606.070312,-49438.230469,4995.080078,0.0,0.0,0.0,18.546001,0.0,0.0,-226.212006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:03:21:703 AM,37606.070312,-49438.230469,4995.080078,0.0,0.0,0.0,18.546001,0.0,0.0,-226.212006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:03:21:703 AM,37606.070312,-49438.230469,4995.080078,0.0,0.0,0.0,18.546001,0.0,0.0,-226.212006,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:03:21:804 AM,37606.070312,-49438.230469,4965.549805,0.0,0.0,0.0,48.079002,0.0,0.0,-328.19101,0.0,0.0,-1020.0,0.0,0.0,0.0,true
May 22 2024 10:03:21:903 AM,37604.890625,-49439.007812,4929.839844,-1.0,0.0,1.0,83.787003,16.563002,21.470001,-324.747009,166.0,215.0,34.0,0.0,0.0,0.0,true
May 22 2024 10:03:22:6 AM,37602.949219,-49438.558594,4911.5,-3.0,0.0,2.0,102.131004,4.637,10.605,-88.418007,-119.0,-109.0,2363.0,0.0,0.0,0.0,true
May 22 2024 10:03:22:103 AM,37602.539062,-49438.039062,4907.870117,-3.0,0.0,2.0,105.754005,-2.078,-0.547,-5.757,-67.0,-112.0,827.0,0.0,0.0,0.0,true
May 22 2024 10:03:22:204 AM,37602.628906,-49438.097656,4908.319824,-3.0,0.0,2.0,106.201004,0.23,1.806,8.989,23.0,24.0,147.0,0.0,0.0,0.0,true
May 22 2024 10:03:22:306 AM,37602.679688,-49438.179688,4909.290039,-3.0,0.0,2.0,107.172005,0.664,1.99,10.012,4.0,2.0,10.0,-0.03,0.0,0.0,true
May 22 2024 10:03:22:405 AM,37602.730469,-49438.238281,4910.239746,-3.0,0.0,2.0,108.123009,0.609,1.512,7.876,-1.0,-5.0,-21.0,-0.03,0.0,0.0,true
