,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
May 22 2024 10:45:14:975 AM,37606.070312,-49438.230469,5013.879883,0.0,0.0,0.0,0.0,0.0,0.0,-126.675003,0.0,0.0,-1267.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:45:14:975 AM,37606.070312,-49438.230469,5013.879883,0.0,0.0,0.0,0.0,0.0,0.0,-126.675003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:45:14:976 AM,37606.070312,-49438.230469,5013.879883,0.0,0.0,0.0,0.0,0.0,0.0,-126.675003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:45:15:347 AM,37606.070312,-49438.230469,4995.509766,0.0,0.0,0.0,18.375,0.0,0.0,-224.492004,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:45:15:348 AM,37606.070312,-49438.230469,4995.509766,0.0,0.0,0.0,18.375,0.0,0.0,-224.492004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:45:15:348 AM,37606.070312,-49438.230469,4995.509766,0.0,0.0,0.0,18.375,0.0,0.0,-224.492004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:45:15:348 AM,37606.070312,-49438.230469,4995.509766,0.0,0.0,0.0,18.375,0.0,0.0,-224.492004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:45:15:450 AM,37606.070312,-49438.230469,4965.850098,0.0,0.0,0.0,48.035004,0.0,0.0,-327.123016,0.0,0.0,-1026.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:45:15:553 AM,37604.917969,-49438.910156,4928.949707,-1.0,0.0,1.0,84.929001,20.266001,24.035002,-317.196014,203.0,240.0,99.0,0.0,0.0,0.0,0.0,true
May 22 2024 10:45:15:658 AM,37602.980469,-49438.46875,4911.069824,-3.0,0.0,2.0,102.808006,4.312,10.186001,-83.924004,-160.0,-138.0,2333.0,0.0,0.0,0.0,0.0,true
