,Position X (m),Position Y (m),Position Z (m),Pitch (degrees),Yaw (degrees),Row (degrees),Aggregated Absolute Delta Z (m),Vx (cm/s),Vy (cm/s),Vz (cm/s),Ax (cm/s),Ay (cm/s),Az (cm/s),Steering,Throttle,HandBrake,Brake,OutOfBounds
May 22 2024 12:02:41:420 PM,37606.070312,-49438.230469,5014.439941,0.0,0.0,0.0,0.0,0.0,0.0,-122.736008,0.0,0.0,-1227.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:41:420 PM,37606.070312,-49438.230469,5014.439941,0.0,0.0,0.0,0.0,0.0,0.0,-122.736008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:41:420 PM,37606.070312,-49438.230469,5014.439941,0.0,0.0,0.0,0.0,0.0,0.0,-122.736008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:41:823 PM,37606.070312,-49438.230469,4996.449707,0.0,0.0,0.0,17.980001,0.0,0.0,-220.556015,0.0,0.0,-978.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:41:824 PM,37606.070312,-49438.230469,4996.449707,0.0,0.0,0.0,17.980001,0.0,0.0,-220.556015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:41:824 PM,37606.070312,-49438.230469,4996.449707,0.0,0.0,0.0,17.980001,0.0,0.0,-220.556015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:41:824 PM,37606.070312,-49438.230469,4996.449707,0.0,0.0,0.0,17.980001,0.0,0.0,-220.556015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:41:931 PM,37606.070312,-49438.230469,4965.699707,0.0,0.0,0.0,48.739002,0.0,0.0,-328.162018,0.0,0.0,-1076.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:42:37 PM,37604.71875,-49438.957031,4927.969727,-1.0,0.0,1.0,86.466003,20.874001,25.677002,-304.877014,209.0,257.0,233.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:42:127 PM,37602.839844,-49438.558594,4912.040039,-3.0,0.0,2.0,102.400002,4.866,11.202001,-97.043007,-160.0,-145.0,2078.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:42:248 PM,37602.398438,-49437.96875,4907.879883,-3.0,0.0,2.0,106.551003,-1.669,1.589,-1.063,-65.0,-96.0,960.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:42:325 PM,37602.46875,-49438.019531,4908.319824,-3.0,0.0,2.0,106.988007,0.093,2.106,8.549001,18.0,5.0,96.0,0.0,0.0,0.0,0.0,true
May 22 2024 12:02:42:436 PM,37602.539062,-49438.097656,4909.409668,-3.0,0.0,2.0,108.075005,0.647,1.923,9.609,6.0,-2.0,11.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:42:529 PM,37602.578125,-49438.160156,4910.22998,-3.0,0.0,2.0,108.896004,0.634,1.339,7.933001,0.0,-6.0,-17.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:42:625 PM,37602.609375,-49438.207031,4910.859863,-3.0,0.0,2.0,109.528008,0.475,0.773,5.364,-2.0,-6.0,-26.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:42:722 PM,37602.628906,-49438.257812,4911.290039,-3.0,0.0,2.0,109.952003,0.311,0.397,3.391,-2.0,-4.0,-20.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:42:829 PM,37602.648438,-49438.300781,4911.589844,-3.0,0.0,2.0,110.255005,0.205,0.069,2.286,-1.0,-3.0,-11.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:42:928 PM,37602.660156,-49438.339844,4911.759766,-3.0,0.0,2.0,110.425003,0.156,-0.13,1.424,0.0,-2.0,-9.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:43:23 PM,37602.648438,-49438.378906,4911.850098,-3.0,0.0,2.0,110.518005,0.098,-0.135,0.956,-1.0,0.0,-5.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:43:127 PM,37602.648438,-49438.417969,4911.919922,-3.0,0.0,2.0,110.584007,0.0,0.0,0.0,-1.0,1.0,-10.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:43:233 PM,37602.648438,-49438.449219,4911.939941,-3.0,0.0,2.0,110.605003,0.043,-0.282,0.282,0.0,-3.0,3.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:43:331 PM,37602.648438,-49438.449219,4911.959961,-3.0,0.0,2.0,110.630005,0.054,-0.092,0.415,0.0,2.0,1.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:43:422 PM,37602.648438,-49438.449219,4912.0,-3.0,0.0,2.0,110.662003,0.031,-0.081,0.288,0.0,0.0,-1.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:43:535 PM,37602.640625,-49438.4375,4912.02002,-3.0,0.0,2.0,110.688004,0.004,-0.099,-0.229,0.0,0.0,-5.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:43:626 PM,37602.640625,-49438.4375,4912.040039,-3.0,0.0,2.0,110.711006,0.019,-0.06,0.133,0.0,0.0,4.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:43:731 PM,37602.640625,-49438.429688,4912.060059,-3.0,0.0,2.0,110.726006,0.028,-0.064,0.069,0.0,0.0,-1.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:43:825 PM,37602.640625,-49438.417969,4912.060059,-3.0,0.0,2.0,110.728004,0.002,-0.094,-0.273,0.0,0.0,-3.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:43:927 PM,37602.640625,-49438.417969,4912.060059,-3.0,0.0,2.0,110.730003,0.018,-0.064,0.017,0.0,0.0,3.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:44:22 PM,37602.640625,-49438.410156,4912.060059,-3.0,0.0,2.0,110.730003,0.01,-0.056,-0.039,0.0,0.0,-1.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:44:130 PM,37602.640625,-49438.410156,4912.060059,-3.0,0.0,2.0,110.734009,0.001,-0.04,0.01,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:44:226 PM,37602.640625,-49438.398438,4912.069824,-3.0,0.0,2.0,110.738007,0.024,-0.053,0.023,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:44:321 PM,37602.640625,-49438.398438,4912.069824,-3.0,0.0,2.0,110.739006,0.024,-0.037,0.084,0.0,0.0,1.0,-0.01,1.0,0.0,0.0,true
May 22 2024 12:02:44:428 PM,37602.949219,-49438.4375,4912.060059,-3.0,0.0,2.0,110.747002,4.457,-0.163,-0.24,44.0,-1.0,-3.0,-0.01,1.0,0.0,0.0,true
May 22 2024 12:02:44:525 PM,37604.179688,-49438.558594,4912.009766,-3.0,0.0,2.0,110.800003,20.394001,-1.662,-0.99,159.0,-15.0,-8.0,-1.01,1.0,0.0,0.0,true
May 22 2024 12:02:44:622 PM,37607.777344,-49439.140625,4911.850098,-3.0,0.0,3.0,110.953003,48.933002,-6.252,-2.562,285.0,-46.0,-16.0,-1.01,1.0,0.0,0.0,true
May 22 2024 12:02:44:732 PM,37617.730469,-49440.828125,4911.350098,-2.0,-1.0,3.0,111.456009,108.412003,-11.622001,-6.914001,595.0,-54.0,-44.0,-0.01,1.0,0.0,0.0,true
May 22 2024 12:02:44:826 PM,37630.800781,-49441.4375,4910.669922,-2.0,-1.0,3.0,112.132004,151.209,-6.979001,-8.381001,428.0,46.0,-15.0,-0.01,1.0,0.0,0.0,true
May 22 2024 12:02:44:921 PM,37647.527344,-49441.917969,4909.810059,-2.0,-1.0,3.0,113.000008,190.638016,-6.178,-10.426001,394.0,8.0,-20.0,-0.01,1.0,0.0,0.0,true
May 22 2024 12:02:45:34 PM,37672.097656,-49442.648438,4908.52002,-2.0,-1.0,3.0,114.286003,235.63501,-6.61,-12.696001,450.0,-4.0,-23.0,-0.01,1.0,0.0,0.0,true
May 22 2024 12:02:45:131 PM,37697.128906,-49443.398438,4907.22998,-2.0,-2.0,3.0,115.582008,273.536011,-7.888,-14.170001,379.0,-13.0,-15.0,-0.01,1.0,0.0,0.0,true
May 22 2024 12:02:45:224 PM,37724.640625,-49444.269531,4905.810059,-1.0,-2.0,3.0,116.999008,309.663025,-9.343,-16.094,361.0,-15.0,-19.0,-0.01,1.0,0.0,0.0,true
May 22 2024 12:02:45:334 PM,37761.328125,-49445.539062,4903.889648,-1.0,-2.0,3.0,118.913002,351.280029,-11.217001,-19.022001,416.0,-19.0,-29.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:45:429 PM,37796.148438,-49446.878906,4901.969727,-2.0,-2.0,3.0,120.838005,376.750031,-12.978001,-19.894001,255.0,-18.0,-9.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:45:526 PM,37832.910156,-49448.257812,4900.060059,-2.0,-2.0,3.0,122.746002,382.705017,-15.150001,-18.091002,60.0,-22.0,18.0,-0.01,0.0,0.0,0.0,true
May 22 2024 12:02:45:629 PM,37870.898438,-49449.757812,4898.219727,-2.0,-2.0,3.0,124.586006,375.917023,-15.574,-17.734001,-68.0,-4.0,4.0,-0.01,0.0,0.0,0.0,true
